"column1","url","title","organisation","rating","Rating Count","enrollments","Mode","Level","duration","Language","subtitles","price","Course Package","Course Projects"
20,https://www.coursera.org/learn/10k-women-9,"Fundamentals of Funding, with Goldman Sachs 10,000 Women",Goldman Sachs,"4.6","196 ","12,116","100% online",NA,Approx. 3 hours to complete,English," French, Portuguese (European), Russian, English, Spanish",0,-,Coursera Labs
21,https://www.coursera.org/learn/10k-women-9-hi,"Goldman Sachs 10,000 Women के साथ, निधिकरण के मूल सिद्धांत",Goldman Sachs,NA,NA,"222,682","100% online",NA,Approx. 3 hours to complete,Hindi," French, Portuguese (European), Russian, Spanish, Hindi",0,-,Coursera Labs
22,https://www.coursera.org/learn/10k-women-brpt-4,"Fundamentos de Clientes e Concorrência com o 10,000 Women da Goldman Sachs",Goldman Sachs,"4.9","39 ","212,802","100% online",NA,Approx. 4 hours to complete,Portuguese (Brazilian), Portuguese (Brazilian),0,-,Coursera Labs
23,https://www.coursera.org/learn/10k-women-brpt-5,"Fundamentos de Planejamento Financeiro com o 10,000 Women da Goldman Sachs",Goldman Sachs,"4.8","39 ","212,802","100% online",NA,Approx. 3 hours to complete,Portuguese (Brazilian), Portuguese (Brazilian),0,-,Coursera Labs
24,https://www.coursera.org/learn/10k-women-brpt-6,"Fundamentos de Vendas e Marketing com o 10,000 Women da Goldman Sachs",Goldman Sachs,"4.9","55 ","2,103","100% online",NA,Approx. 4 hours to complete,Portuguese (Brazilian), Portuguese (Brazilian),0,-,Coursera Labs
25,https://www.coursera.org/learn/10k-women-brpt-9,"Fundamentos de Financiamento com o 10,000 Women da Goldman Sachs",Goldman Sachs,"4.8","28 ","212,802","100% online",NA,Approx. 3 hours to complete,Portuguese (Brazilian), Portuguese (Brazilian),0,-,Coursera Labs
26,https://www.coursera.org/learn/10k-women-esp-1,"Haz Crecer Tu Negocio con Goldman Sachs 10,000 Women",Goldman Sachs,"4.9","58 ","2,225","100% online",NA,Approx. 3 hours to complete,Spanish, Spanish,0,-,Coursera Labs
27,https://www.coursera.org/learn/10k-women-esp-10,"Fundamentos de la Negociación con Goldman Sachs 10,000 Women",Goldman Sachs,"4.8","48 ","212,802","100% online",NA,Approx. 4 hours to complete,Spanish, Spanish,0,-,Coursera Labs
28,https://www.coursera.org/learn/10k-women-esp-2,"Fundamentos de los Aspectos Financieros del Negocio con Goldman Sachs 10,000 Women",Goldman Sachs,"4.9","34 ","212,802","100% online",NA,Approx. 3 hours to complete,Spanish, Spanish,0,-,Coursera Labs
29,https://www.coursera.org/learn/10k-women-esp-3,"Fundamentos del Liderazgo con Goldman Sachs 10,000 Women",Goldman Sachs,"4.7","80 ","2,153","100% online",NA,Approx. 2 hours to complete,Spanish, Spanish,0,-,Coursera Labs
30,https://www.coursera.org/learn/10k-women-esp-4,"Fundamentos de los Clientes y la Competencia con Goldman Sachs 10,000 Women",Goldman Sachs,"4.9","19 ","212,802","100% online",NA,Approx. 4 hours to complete,Spanish, Spanish,0,-,Coursera Labs
31,https://www.coursera.org/learn/10k-women-esp-5,"Fundamentos de la Planificación Financiera con Goldman Sachs 10,000 Women",Goldman Sachs,"4.5","33 ","212,802","100% online",NA,Approx. 3 hours to complete,Spanish, Spanish,0,-,Coursera Labs
32,https://www.coursera.org/learn/10k-women-esp-6,"Fundamentos de las Ventas y el Marketing con Goldman Sachs 10,000 Women",Goldman Sachs,"4.8","112 ","5,649","100% online",NA,Approx. 3 hours to complete,Spanish, Spanish,0,-,Coursera Labs
33,https://www.coursera.org/learn/10k-women-esp-7,"Fundamentos de las Operaciones con Goldman Sachs 10,000 Women",Goldman Sachs,"4.8","46 ","212,802","100% online",NA,Approx. 3 hours to complete,Spanish, Spanish,0,-,Coursera Labs
34,https://www.coursera.org/learn/10k-women-esp-8,"Fundamentos de la Administración con Goldman Sachs 10,000 Women",Goldman Sachs,"5.0","28 ","212,802","100% online",NA,Approx. 3 hours to complete,Spanish, Spanish,0,-,Coursera Labs
35,https://www.coursera.org/learn/10k-women-esp-9,"Fundamentos de la Financiación con Goldman Sachs 10,000 Women",Goldman Sachs,NA,NA,"212,802","100% online",NA,Approx. 3 hours to complete,Spanish, Spanish,0,-,Coursera Labs
36,https://www.coursera.org/learn/10kw-digital-marketing,"Digital Marketing Strategy with Goldman Sachs 10,000 Women",Goldman Sachs,"4.7","197 ","12,397","100% online",NA,Approx. 3 hours to complete,English, English,0,-,Coursera Labs
37,https://www.coursera.org/learn/10kw-innovation-strategy,"Innovation Strategy with Goldman Sachs 10,000 Women",Goldman Sachs,"4.8","26 ","2,531","100% online",NA,Approx. 3 hours to complete,English, English,0,-,-
38,https://www.coursera.org/learn/10kw-social-impact,"Social Impact Strategy with Goldman Sachs 10,000 Women",Goldman Sachs,"4.8","25 ","2,010","100% online",NA,Approx. 3 hours to complete,English, English,0,-,Coursera Labs
39,https://www.coursera.org/learn/2-speed-it,"Two Speed IT: How Companies Can Surf the Digital Wave, a BCG Perspective",CentraleSupélec,"4.3","149 ","21,366","100% online",NA,Approx. 13 hours to complete,English," French, Portuguese (European), Russian, English, Spanish",2368,-,Coursera Labs
40,https://www.coursera.org/learn/20cnwm, 20世纪西方音乐 Western Music in the 20th Century,Peking University,"4.4","45 ","4,289","100% online",Beginner Level,Approx. 14 hours to complete,Chinese (Simplified), Chinese (Simplified),2381,-,-
41,https://www.coursera.org/learn/21st-century-energy-transition, 21st Century Energy Transition: how do we make it work?,University of Alberta,"4.8","39 ","3,023","100% online",Beginner Level,Approx. 16 hours to complete,English, English,2381,-,-
42,https://www.coursera.org/learn/3-axis-machining-autodesk-fusion-360, 3-Axis Machining with Autodesk Fusion 360,Autodesk,"4.9","183 ","7,636","100% online",Advanced Level,Approx. 27 hours to complete,English, English,3202,-,-
43,https://www.coursera.org/learn/360-vr-video-production,VR and 360 Video Production,Google AR & VR,"4.7","820 ","30,337","100% online",Beginner Level,Approx. 13 hours to complete,English," Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",2368,-,-
44,https://www.coursera.org/learn/3d-cad-application, 3D CAD Application,National Taiwan University,"4.8","127 ","15,805","100% online",Intermediate Level,Approx. 8 hours to complete,English," Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",3202,-,-
45,https://www.coursera.org/learn/3d-cad-fundamental, 3D CAD Fundamental,NA,"4.7","491 ","52,693","100% online",Beginner Level,Approx. 9 hours to complete,English," Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",3202,-,-
46,https://www.coursera.org/learn/3d-game-prop-production,Current Gen 3D Game Prop Production,Michigan State University,"4.8","27 ","4,444","100% online",Intermediate Level,Approx. 14 hours to complete,English," French, Portuguese (European), Russian, English, Spanish",4023,-,-
47,https://www.coursera.org/learn/3d-graphics-android-sensors-vr, 3D Graphics in Android: Sensors and VR,Imperial College London,"4.6","10 ","9,588","100% online",Advanced Level,Approx. 27 hours to complete,English," Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",4023,-,-
48,https://www.coursera.org/learn/3d-interaction-design-virtual-reality, 3D Interaction Design in Virtual Reality,University of London,"4.6","128 ","14,862","100% online",Intermediate Level,Approx. 12 hours to complete,English," Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",4023,-,-
49,https://www.coursera.org/learn/3d-model-creation-fusion-360, 3D Model Creation with Autodesk Fusion 360,Autodesk,"4.8","746 ","26,088","100% online",Advanced Level,Approx. 14 hours to complete,English," Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",4023,-,-
50,https://www.coursera.org/learn/3d-modeling-rhinoscript,Design Computing: 3D Modeling in Rhinoceros with Python/Rhinoscript,University of Michigan,"4.9","79 ","14,561","100% online",NA,Approx. 26 hours to complete,English," French, Portuguese (European), Russian, English, Spanish",2368,-,-
51,https://www.coursera.org/learn/3d-models-virtual-reality, 3D Models for Virtual Reality,University of London,"4.6","374 ","40,770","100% online",Intermediate Level,Approx. 16 hours to complete,English," Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",4023,-,-
52,https://www.coursera.org/learn/3d-print-hardware, 3D Printing Hardware,University of Illinois at Urbana-Champaign,"4.1","92 ","13,830","100% online",NA,Approx. 31 hours to complete,English," Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",4023,Course 4 of 5,-
53,https://www.coursera.org/learn/3d-printing-applications, 3D Printing Applications,University of Illinois at Urbana-Champaign,"4.6","645 ","23,690","100% online",Beginner Level,Approx. 20 hours to complete,English," French, Portuguese (European), Russian, English, Spanish",4023,-,-
54,https://www.coursera.org/learn/3d-printing-capstone, 3D Printing Capstone,University of Illinois at Urbana-Champaign,"4.4","28 ","4,051","100% online",NA,Approx. 5 hours to complete,English," Arabic, French, Portuguese (European), Javanese, Russian, English, Spanish",4023,Course 5 of 5,-
